Date,NASDAQ,Inflation_Rate
24/2/2014,4292.970215,235.547
25/2/2014,4287.589844,235.547
26/2/2014,4292.060059,235.547
27/2/2014,4318.930176,235.547
28/2/2014,4308.120117,235.547
1/3/2014,,236.028
2/3/2014,,236.028
3/3/2014,4277.299805,236.028
4/3/2014,4351.970215,236.028
5/3/2014,4357.970215,236.028
6/3/2014,4352.129883,236.028
7/3/2014,4336.220215,236.028
8/3/2014,,236.028
9/3/2014,,236.028
10/3/2014,4334.450195,236.028
11/3/2014,4307.189941,236.028
12/3/2014,4323.330078,236.028
13/3/2014,4260.419922,236.028
14/3/2014,4245.399902,236.028
15/3/2014,,236.028
16/3/2014,,236.028
17/3/2014,4279.950195,236.028
18/3/2014,4333.310059,236.028
19/3/2014,4307.600098,236.028
20/3/2014,4319.290039,236.028
21/3/2014,4276.790039,236.028
22/3/2014,,236.028
23/3/2014,,236.028
24/3/2014,4226.390137,236.028
25/3/2014,4234.27002,236.028
26/3/2014,4173.580078,236.028
27/3/2014,4151.22998,236.028
28/3/2014,4155.759766,236.028
29/3/2014,,236.028
30/3/2014,,236.028
31/3/2014,4198.990234,236.028
1/4/2014,4268.040039,236.468
2/4/2014,4276.459961,236.468
3/4/2014,4237.740234,236.468
4/4/2014,4127.72998,236.468
5/4/2014,,236.468
6/4/2014,,236.468
7/4/2014,4079.75,236.468
8/4/2014,4112.990234,236.468
9/4/2014,4183.899902,236.468
10/4/2014,4054.110107,236.468
11/4/2014,3999.72998,236.468
12/4/2014,,236.468
13/4/2014,,236.468
14/4/2014,4022.689941,236.468
15/4/2014,4034.159912,236.468
16/4/2014,4086.22998,236.468
17/4/2014,4095.52002,236.468
18/4/2014,,236.468
19/4/2014,,236.468
20/4/2014,,236.468
21/4/2014,4121.549805,236.468
22/4/2014,4161.459961,236.468
23/4/2014,4126.970215,236.468
24/4/2014,4148.339844,236.468
25/4/2014,4075.560059,236.468
26/4/2014,,236.468
27/4/2014,,236.468
28/4/2014,4074.399902,236.468
29/4/2014,4103.540039,236.468
30/4/2014,4114.560059,236.468
1/5/2014,4127.450195,236.918
2/5/2014,4123.899902,236.918
3/5/2014,,236.918
4/5/2014,,236.918
5/5/2014,4138.060059,236.918
6/5/2014,4080.76001,236.918
7/5/2014,4067.669922,236.918
8/5/2014,4051.5,236.918
9/5/2014,4071.870117,236.918
10/5/2014,,236.918
11/5/2014,,236.918
12/5/2014,4143.859863,236.918
13/5/2014,4130.169922,236.918
14/5/2014,4100.629883,236.918
15/5/2014,4069.290039,236.918
16/5/2014,4090.590088,236.918
17/5/2014,,236.918
18/5/2014,,236.918
19/5/2014,4125.810059,236.918
20/5/2014,4096.890137,236.918
21/5/2014,4131.540039,236.918
22/5/2014,4154.339844,236.918
23/5/2014,4185.810059,236.918
24/5/2014,,236.918
25/5/2014,,236.918
26/5/2014,,236.918
27/5/2014,4237.069824,236.918
28/5/2014,4225.080078,236.918
29/5/2014,4247.950195,236.918
30/5/2014,4242.620117,236.918
31/5/2014,,236.918
1/6/2014,,237.231
2/6/2014,4237.200195,237.231
3/6/2014,4234.080078,237.231
4/6/2014,4251.640137,237.231
5/6/2014,4296.22998,237.231
6/6/2014,4321.399902,237.231
7/6/2014,,237.231
8/6/2014,,237.231
9/6/2014,4336.240234,237.231
10/6/2014,4338.0,237.231
11/6/2014,4331.930176,237.231
12/6/2014,4297.629883,237.231
13/6/2014,4310.649902,237.231
14/6/2014,,237.231
15/6/2014,,237.231
16/6/2014,4321.100098,237.231
17/6/2014,4337.22998,237.231
18/6/2014,4362.839844,237.231
19/6/2014,4359.330078,237.231
20/6/2014,4368.040039,237.231
21/6/2014,,237.231
22/6/2014,,237.231
23/6/2014,4368.680176,237.231
24/6/2014,4350.350098,237.231
25/6/2014,4379.759766,237.231
26/6/2014,4379.049805,237.231
27/6/2014,4397.930176,237.231
28/6/2014,,237.231
29/6/2014,,237.231
30/6/2014,4408.180176,237.231
1/7/2014,4458.649902,237.498
2/7/2014,4457.72998,237.498
3/7/2014,4485.930176,237.498
4/7/2014,,237.498
5/7/2014,,237.498
6/7/2014,,237.498
7/7/2014,4451.529785,237.498
8/7/2014,4391.459961,237.498
9/7/2014,4419.029785,237.498
10/7/2014,4396.200195,237.498
11/7/2014,4415.490234,237.498
12/7/2014,,237.498
13/7/2014,,237.498
14/7/2014,4440.419922,237.498
15/7/2014,4416.390137,237.498
16/7/2014,4425.970215,237.498
17/7/2014,4363.450195,237.498
